127.0.0.1, 2015-12-02 14:16:33, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-12-02 14:16:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.381000
127.0.0.1, 2015-12-02 14:16:33, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:33, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:33, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-12-02 14:16:33, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:33, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:34, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-12-02 14:16:34, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:34, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:34, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:34, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:34, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:34, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:34, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:35, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:35, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:35, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:35, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:41, GET, /admin/default/site, HTTP/1.1, 303, 1.345000
127.0.0.1, 2015-12-02 14:16:41, GET, /admin/default/index, HTTP/1.1, 200, 0.159000
127.0.0.1, 2015-12-02 14:16:41, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:16:41, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:41, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:41, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:41, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-12-02 14:16:41, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:41, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:41, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:41, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:42, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:16:42, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:42, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:42, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:16:42, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:16:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-12-02 14:16:46, POST, /admin/default/index, HTTP/1.1, 303, 0.052000
127.0.0.1, 2015-12-02 14:16:47, GET, /admin/default/site, HTTP/1.1, 200, 0.217000
